date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2020-03-04,GA,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,0,,,0,0,0,,,,,,0,0,0
2020-03-05,GA,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,0,,,0,0,0,,,,,,0,0,0
2020-03-06,GA,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,0,,,0,0,0,,,,,,0,0,0
2020-03-07,GA,,,0,,,,,0,,,,0,,,,,,6,,4,0,,,,,0,,,0,0,0,,,,,,0,0,0
2020-03-08,GA,,,0,,,,,0,,,,0,,,,,,7,,1,0,,,,,0,,,0,0,0,,,,,,0,0,0
2020-03-09,GA,,,0,,,,,0,,,,0,,,,,,12,,5,0,,,,,1,,,0,6,6,,,,,,0,6,6
2020-03-10,GA,,,0,,,,,0,,,,0,,,,,,17,,5,0,,,,,2,,,0,29,23,,,,,,0,29,23
2020-03-11,GA,,,0,,,,,0,,,,0,,,,,,22,,5,0,,,,,4,,,0,44,15,,,,,,0,44,15
2020-03-12,GA,,,0,,,,,0,,,,0,,,,,,31,,9,0,,,,,7,,,0,81,37,,,,,,0,81,37
2020-03-13,GA,1.0,,1,,,,,0,,,,0,,,,,,42,,11,0,,,,,32,,,0,336,255,,,,,,0,336,255
2020-03-14,GA,1.0,,0,,,,,0,,,,0,,,,,,66,,24,0,,,,,41,,,0,466,130,,,,,,0,466,130
2020-03-15,GA,1.0,,0,,,,,0,,,,0,,,,,,99,,33,0,,,,,68,,,0,707,241,,,,,,0,707,241
2020-03-16,GA,1.0,,0,,,,,0,,,,0,,,,,,121,,22,0,,,,,100,,,0,959,252,,,,,,0,959,252
2020-03-17,GA,1.0,,0,,,,,0,,,,0,,,,,,146,,25,0,,,,,185,,,0,1500,541,,,,,,0,1500,541
2020-03-18,GA,1.0,,0,,,,,0,,,,0,,,,,,197,,51,0,,,,,246,,,0,1866,366,,,,,,0,1866,366
2020-03-19,GA,10.0,,9,,,,,0,,,,0,,,,,,287,,90,0,,,,,352,,,0,2468,602,,,,,,0,2468,602
2020-03-20,GA,13.0,,3,,,,,0,,,,0,,,,,,420,,133,0,,,,,460,,,0,3115,647,,,,,,0,3115,647
2020-03-21,GA,14.0,,1,,,,,0,,,,0,,,,,,507,,87,0,,,,,582,,,0,3981,866,,,,,,0,3981,866
2020-03-22,GA,23.0,,9,,,,,0,,,,0,,,,,,600,,93,0,,,,,698,,,0,4762,781,,,,,,0,4762,781
2020-03-23,GA,25.0,,2,,,,,0,,,,0,,,,,,772,,172,0,,,,,905,,,0,5959,1197,,,,,,0,5959,1197
2020-03-24,GA,32.0,,7,,,,,0,,,,0,,,,,,1026,,254,0,,,,,1092,,,0,6806,847,,,,,,0,6806,847
2020-03-25,GA,40.0,,8,,394.0,394.0,,394,,,,0,,,,,,1247,,221,0,,,,,1495,,,0,9307,2501,,,,,,0,9307,2501
2020-03-26,GA,48.0,,8,,473.0,473.0,,79,,,,0,,,,,,1525,,278,0,,,,,1557,,,0,9962,655,,,,,,0,9962,655
2020-03-27,GA,64.0,,16,,566.0,566.0,,93,,,,0,,,,,,2001,,476,0,,,,,1789,,,0,11021,1059,,,,,,0,11021,1059
2020-03-28,GA,69.0,,5,,617.0,617.0,,51,,,,0,,,,,,2366,,365,0,,,,,2383,,,0,14080,3059,,,,,,0,14080,3059
2020-03-29,GA,80.0,,11,,666.0,666.0,,49,,,,0,,,,,,2651,,285,0,,,,,2508,,,0,14629,549,,,,,,0,14629,549
2020-03-30,GA,87.0,,7,,707.0,707.0,,41,,,,0,,,,,,2809,,158,0,,,,,2920,,,0,16225,1596,,,,,,0,16225,1596
2020-03-31,GA,111.0,,24,,833.0,833.0,,126,,,,0,,,,,,3929,,1120,0,,,,,3653,,,0,19910,3685,,,,,,0,19910,3685
2020-04-01,GA,139.0,,28,,952.0,952.0,,119,,,,0,,,,,,4638,,709,0,,,,,3713,,,0,20338,428,,,,,,0,20338,428
2020-04-02,GA,163.0,,24,,1056.0,1056.0,,104,,,,0,,,,,,5348,,710,0,,,,,4560,,,0,22970,2632,,,,,,0,22970,2632
2020-04-03,GA,184.0,,21,,1158.0,1158.0,,102,,,,0,,,,,,5831,,483,0,,,,,5010,,,0,25286,2316,,,,,,0,25286,2316
2020-04-04,GA,201.0,,17,,1239.0,1239.0,,81,,,,0,,,,,,6160,,329,0,,,,,5292,,,0,26337,1051,,,,,,0,26337,1051
2020-04-05,GA,211.0,,10,,1283.0,1283.0,,44,,,,0,,,,,,6647,,487,0,,,,,5573,,,0,27941,1604,,,,,,0,27941,1604
2020-04-06,GA,229.0,,18,,1332.0,1332.0,,49,,,,0,,,,,,7314,,667,0,,,,,6154,,,0,31350,3409,,,,,,0,31350,3409
2020-04-07,GA,329.0,,100,,1774.0,1774.0,,442,,,,0,,,,,,8818,,1504,0,,,,,7817,,,0,37997,6647,,,,,,0,37997,6647
2020-04-08,GA,362.0,,33,,1993.0,1993.0,,219,,,,0,,,,,,9901,,1083,0,,,,,8525,,,0,40999,3002,,,,,,0,40999,3002
2020-04-09,GA,379.0,,17,,2159.0,2159.0,,166,,,,0,,,,,,10566,,665,0,,,,,9153,,,0,44828,3829,,,,,,0,44828,3829
2020-04-10,GA,416.0,,37,,2351.0,2351.0,,192,,,,0,,,,,,11483,,917,0,,,,,9391,,,0,46188,1360,,,,,,0,46188,1360
2020-04-11,GA,428.0,,12,,2479.0,2479.0,,128,,,,0,,,,,,12159,,676,0,,,,,9912,,,0,51769,5581,,,,,,0,51769,5581
2020-04-12,GA,433.0,,5,,2505.0,2505.0,,26,,,,0,,,,,,12452,,293,0,,,,,10610,,,0,56613,4844,,,,,,0,56613,4844
2020-04-13,GA,464.0,,31,,2589.0,2589.0,,84,,,,0,,,,,,13315,,863,0,,,,,10659,,,0,57089,476,,,,,,0,57089,476
2020-04-14,GA,501.0,,37,,2769.0,2769.0,,180,,,,0,,,,,,14223,,908,0,,,,,11524,,,0,61808,4719,,,,,,0,61808,4719
2020-04-15,GA,552.0,,51,,2922.0,2922.0,,153,,,,0,,,,,,14987,,764,0,,,,,12071,,,0,65232,3424,,,,,,0,65232,3424
2020-04-16,GA,587.0,,35,,3108.0,3108.0,,186,,,,0,,,,,,15669,,682,0,,,,,12763,,,0,69766,4534,,,,,,0,69766,4534
2020-04-17,GA,650.0,,63,,3324.0,3324.0,,216,,,,0,,,,,,17194,,1525,0,,,,,13002,,,0,71686,1920,,,,,,0,71686,1920
2020-04-18,GA,673.0,,23,,3420.0,3420.0,,96,,,,0,,,,,,17669,,475,0,,,,,14183,,,0,79350,7664,,,,,,0,79350,7664
2020-04-19,GA,687.0,,14,,3464.0,3464.0,,44,,,,0,,,,,,18301,,632,0,,,,,14613,,,0,83327,3977,,,,,,0,83327,3977
2020-04-20,GA,733.0,,46,,3550.0,3550.0,,86,,,,0,,,,,,18947,,646,0,,,,,15109,,,0,87423,4096,,,,,,0,87423,4096
2020-04-21,GA,799.0,,66,,3779.0,3779.0,,229,,,,0,,,,,,19881,,934,0,,,,,15635,,,0,92422,4999,,,,,,0,92422,4999
2020-04-22,GA,836.0,,37,,3959.0,3959.0,,180,,,,0,,,,,,20740,,859,0,,,,,15804,,,0,94071,1649,,,,,,0,94071,1649
2020-04-23,GA,872.0,,36,,4069.0,4069.0,,110,,,,0,,,,,,21512,,772,0,,,,,16471,,,0,100979,6908,,,,,,0,100979,6908
2020-04-24,GA,892.0,,20,,4221.0,4221.0,,152,,,,0,,,,,,22147,,635,0,,,,,17164,,,0,107085,6106,,,,,,0,107085,6106
2020-04-25,GA,904.0,,12,,4326.0,4326.0,,105,,,,0,,,,,,22695,,548,0,,,,,18792,,,0,121027,13942,,,,,,0,121027,13942
2020-04-26,GA,912.0,,8,,4359.0,4359.0,,33,,,,0,,,,,,23401,,706,0,,,,,19108,,,0,124429,3402,,,,,,0,124429,3402
2020-04-27,GA,971.0,,59,,4681.0,4681.0,,322,1057.0,,,0,,,,,,23913,,512,0,,,,,20557,,,0,136179,11750,,,,,,0,136179,11750
2020-04-28,GA,1026.0,,55,,4814.0,4814.0,,133,1087.0,,,0,,,,,,24615,,702,0,,,,,20950,,,0,139914,3735,,,,,,0,139914,3735
2020-04-29,GA,1093.0,,67,,5056.0,5056.0,,242,1148.0,,,0,,,,,,25623,25411.0,1008,0,,,,,21502,,,0,145225,5311,,,,,,0,145225,5311
2020-04-30,GA,1120.0,,27,,5156.0,5156.0,,100,1171.0,,,0,,,,,,26155,26155.0,532,0,,,,,23045,,,0,161181,15956,,,,,,0,161181,15956
2020-05-01,GA,1154.0,,34,,5269.0,5269.0,1500.0,113,1215.0,,,0,,,,,,27270,27270.0,1115,0,,,,,23434,,,0,166062,4881,,,,,,0,166062,4881
2020-05-02,GA,1174.0,,20,,5387.0,5387.0,1440.0,118,1247.0,,,0,,,,,,28306,28306.0,1036,0,,,,,23961,,,0,172523,6461,,,,,,0,172523,6461
2020-05-03,GA,1177.0,,3,,5393.0,5393.0,1410.0,6,1249.0,,,0,,,,,,28602,28602.0,296,0,,,,,23985,,,0,172968,445,,,,,,0,172968,445
2020-05-04,GA,1222.0,,45,,5526.0,5526.0,1377.0,133,1284.0,,,0,,,,,,29368,29368.0,766,0,,,,,24899,,,0,185541,12573,,,,,,0,185541,12573
2020-05-05,GA,1288.0,,66,,5634.0,5634.0,1343.0,108,1318.0,,,0,,,,,,29711,29711.0,343,0,,,,,25197,,,0,190322,4781,,,,,,0,190322,4781
2020-05-06,GA,1311.0,,23,,5765.0,5765.0,1339.0,131,1343.0,,,0,,,,,,30696,30696.0,985,0,,,,,25851,,,0,199225,8903,,,,,,0,199225,8903
2020-05-07,GA,1336.0,,25,,5835.0,5835.0,1309.0,70,1374.0,,,0,,,,,,31439,31439.0,743,0,,,,,26433,,,0,209510,10285,,,,,,0,209510,10285
2020-05-08,GA,1377.0,,41,,5935.0,5935.0,1227.0,100,1399.0,,,0,,,,,,32106,32106.0,667,0,,,,,26759,,,0,214344,4834,,,,,,0,214344,4834
2020-05-09,GA,1400.0,,23,,5987.0,5987.0,1179.0,52,1409.0,,,0,,,,,,32532,32532.0,426,0,,,,,27085,,,0,219147,4803,,,,,,0,219147,4803
2020-05-10,GA,1405.0,,5,,5997.0,5997.0,1144.0,10,1412.0,,,0,,,,,,33441,33441.0,909,0,,,,,28281,,,0,224474,5327,,,,,,0,224474,5327
2020-05-11,GA,1441.0,,36,,6015.0,6015.0,1133.0,18,1414.0,,,0,,,,,,33927,33927.0,486,0,,,,,29188,,,0,234892,10418,,,,,,0,234892,10418
2020-05-12,GA,1461.0,,20,,6130.0,6130.0,1125.0,115,1443.0,,,0,,,,,,34635,34635.0,708,0,,,,,29861,,,0,245165,10273,,,,,,0,245165,10273
2020-05-13,GA,1505.0,,44,,6259.0,6259.0,1091.0,129,1494.0,,,0,,,,,,35332,35332.0,697,0,,,,,30214,,,0,250862,5697,,,,,,0,250862,5697
2020-05-14,GA,1527.0,,22,,6345.0,6345.0,1060.0,86,1513.0,,,0,,,,,,35858,35858.0,526,0,,,,,30981,,,0,261860,10998,,,,,,0,261860,10998
2020-05-15,GA,1557.0,,30,,6438.0,6438.0,1029.0,93,1534.0,,,0,,,,,,36681,36681.0,823,0,,,,,31721,,,0,275764,13904,,,,,,0,275764,13904
2020-05-16,GA,1592.0,,35,,6735.0,6735.0,1005.0,297,1554.0,,,0,,,,,,37147,37147.0,466,0,,,,,33279,,,0,300697,24933,,,,,,0,300697,24933
2020-05-17,GA,1606.0,,14,,6790.0,6790.0,1010.0,55,1557.0,,,0,,,,,,37701,37701.0,554,0,,,,,33760,,,0,308931,8234,,,,,,0,308931,8234
2020-05-18,GA,1642.0,,36,,6916.0,6916.0,1025.0,126,1565.0,,,0,,,,,,38081,38081.0,380,0,,,,,34333,,,0,318260,9329,,,,,,0,318260,9329
2020-05-19,GA,1664.0,,22,,7027.0,7027.0,986.0,111,1589.0,,,0,,,,,,38721,38721.0,640,0,,,,,34500,,,0,322427,4167,,,,,,0,322427,4167
2020-05-20,GA,1687.0,,23,,7107.0,7107.0,959.0,80,1617.0,,,0,,,,,,39647,39647.0,926,0,,,,,35460,,,0,338911,16484,,,,,,0,338911,16484
2020-05-21,GA,1754.0,,67,,7235.0,7235.0,919.0,128,1642.0,,,0,,,,,,40405,40405.0,758,0,,,,,35526,,,0,339388,477,,,,,,0,339388,477
2020-05-22,GA,1785.0,,31,,7313.0,7313.0,889.0,78,1658.0,,,0,,,,,,41218,41218.0,813,0,,,,,36108,,,0,349383,9995,,,,,,0,349383,9995
2020-05-23,GA,1811.0,,26,,7411.0,7411.0,848.0,98,1678.0,,,0,,,,,,42132,42132.0,914,0,,,,,36868,,,0,362562,13179,,,,,,0,362562,13179
2020-05-24,GA,1824.0,,13,,7439.0,7439.0,848.0,28,1683.0,,,0,,,,,,42838,42838.0,706,0,,,,,37843,,,0,379225,16663,,,,,,0,379225,16663
2020-05-25,GA,1830.0,,6,,7475.0,7475.0,892.0,36,1686.0,,,0,,,,,,43344,43344.0,506,0,,,,,38975,,,0,400562,21337,,,,,,0,400562,21337
2020-05-26,GA,1871.0,,41,,7547.0,7547.0,854.0,72,1703.0,,,0,,,,,,43730,43344.0,386,0,,,,,39250,,,0,404234,3672,,,,,,0,404234,3672
